Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.826695567,-1.882524863,-3.532652291,-3.025814742,7.331189486,1.090668488,0.196721929,0.931715111,-7.057410565,2.656433743,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915,0.247278734,5.51968542,4.360061884,0.08326178,-5.502964621,9.501301209
"Bahamas, The",BHS,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.073711047,2.556539628,3.905565083,-0.851983447,2.183366927,0.802435284,0.98424358,1.92767477,3.0492,0.223912945,0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,2.105634286,1.433320649,3.887115877,5.088782853,0.632944228,1.328564605,1.366283978,1.501262439,-3.48689981,1.616956812
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743319,-17.05676337,13.01148218,-1.581925361,8.35572908,5.892741203,4.726117616,5.007866373,1.41086148,2.161971578,6.189015768,7.80012736,6.197569391,7.335351286,0.185466529,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.406961951,1.696361647,2.747630043,2.6311401,0.176003628,4.878606347
Belarus,BLR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767051,1030.776812,1058.714497,1945.748606,661.5040768,53.71432731,71.64957481,76.58044633,316.7934351,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378,8.34191705,8.623147404,12.13922998,8.626732645,11.90788183,13.05041983
Belize,BLZ,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172866167,-2.193474343,3.337016971,1.933771518,2.527370367,5.41727491,2.973815268,-1.588841516,1.320609215,-2.090745482,1.288215621,-0.790681004,0.861808475,-3.713358823,2.311515502,2.919107328,3.433743948,3.872373322,3.519159127,-2.363412696,2.167770441,4.769822348,0.703671772,2.026357706,1.20719389,0.022624434,2.056006451,2.962753735,0.163340769,-0.112530945,-0.60295269,3.955286155
Bermuda,BMU,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.033572309,6.430591169,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,5.3772,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.611116976,2.419351945,-0.415057906,0.366694539
Bolivia,BOL,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26794198,17.68944022,13.19920441,6.557158191,7.952207725,11.42728171,11.58020687,5.705043358,7.051126765,2.411565889,5.195405208,1.870093658,2.820757397,6.329992293,7.967709509,5.94079763,13.66367954,7.373353861,10.38118176,-2.419894328,8.777508116,14.60235424,7.100275501,5.995388369,2.049497726,-4.62060237,-1.354870536,6.061399961,3.056265908,-0.693003423,-1.854386587,3.966970327
Brazil,BRA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736.970678,416.6780877,969.0129218,1996.15035,2240.168869,93.97804304,18.45624378,7.72902341,4.924361587,8.010500877,5.606065153,8.225094316,9.798112234,14.09102153,7.752060759,7.431224755,6.774274119,6.439038089,8.778552722,7.313482746,8.423338336,8.318592219,7.943126942,7.504564532,7.846709743,7.566175013,8.103604357,3.671384513,4.493534332,4.22425887,5.140222397,11.09637043
Barbados,BRB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.728308355,4.495282919,2.12239359,5.195366413,2.209842656,1.016149209,2.53841642,0.916898498,8.703256154,4.433423516,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.05814843,8.56971972,1.721953545,-1.742034094,3.896552813,3.532675905,-0.591919808,2.946693065,0.495971063,-1.823927145,-0.23856676,2.610279172,3.384338693,4.589868131,1.218970884,3.878277849
Brunei Darussalam,BRN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.409963766,-2.837280823,1.726875356,-2.951489527,-8.763626527,2.872997532,4.488755815,8.584853385,-11.64857357,11.59397648,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313,-9.167861616,4.953690289,9.217653488,-3.335767975,-10.86375964,15.46592853
Bhutan,BTN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.205353073,8.941284395,8.923289307,8.513450764,12.34125508,8.284382763,8.112632814,12.90687486,10.6962672,6.17025886,7.350196168,5.358776045,4.755219574,3.066148262,3.704944877,5.902775454,5.419860934,2.953441211,5.510470264,4.75628605,5.854311232,8.510299111,9.1799297,5.86984322,6.920960939,3.557068165,4.383411291,5.104921117,1.759330695,0.899053929,7.223304503,4.703273588
Botswana,BWA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.300018284,5.177709985,6.639280732,13.06470053,9.463804781,7.155294792,16.11219546,4.990608472,9.967270889,14.2352084,14.17096701,8.312824992,1.187370693,3.259084395,10.07878863,15.47170655,7.473131023,6.029197651,9.372730256,15.10893375,7.683061453,12.65332158,3.011841608,1.532120998,11.90410682,3.729942543,11.90763118,-2.64869669,0.055525475,0.32735866,4.351818907,2.525640898
Central African Republic,CAF,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.836645106,-0.389815608,2.782647022,-3.433020318,24.41256968,9.897975858,-3.543045733,0.823381001,-0.414154095,4.08471549,8.506601078,0.425938675,-2.371881706,1.336418631,-4.439785938,4.188437082,3.334045939,1.83823165,7.077070724,0.711628391,4.211309311,4.009115057,6.181036177,2.487486778,11.8938033,2.708263108,2.980114084,6.443706288,-1.224117158,2.327837051,1.982160556,3.27056491
Canada,CAN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888413679,3.071335142,4.593831662,2.044025945,0.843483727,1.255872329,2.444373551,1.363187307,1.065703303,-1.357274676,3.983738602,-2.311525374,2.849946456,3.23475903,1.211917544,1.737448,1.944598697,-0.876717545,0.75403003,2.56499684,1.61741439,1.47519792,0.749680464,8.178430116
Central Europe and the Baltics,CEB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60362131,5.409104818,2.124635046,2.322023975,1.184387207,0.737757509,0.281380796,-0.479120572,-0.197104887,0.03983231,1.356847618,0.975019315,-0.259305173,1.184539187,0.307391006,0.934409474,2.15741403,2.379530052,1.466799841,0.417726606,0.334528999,-0.032862903,-0.003765062,-0.02330848,-0.590356049,-1.204191107,-0.596719888,-0.374816491,0.748408212,-0.105744561,-0.502868266,1.436224568
Channel Islands,CHI,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.909630398,3.892317958,3.301635454,4.382725697,4.353714027,3.797572201,2.504709535,3.278931178,3.336333904,,,,,,,,,,,,,,
Chile,CHL,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4709371,21.3909823,13.46437703,12.16441967,14.46398495,11.68071811,4.079776196,3.330580503,0.778990207,2.187767871,4.560043487,4.277146982,3.340660372,4.300300884,7.024761707,7.120315352,12.34989592,5.088757067,0.311132499,3.577795042,8.857441489,3.260514866,0.763466681,2.260770609,5.852891626,4.95436553,4.560656037,4.828191886,1.590199737,2.578359014,8.817322377,7.559883001
China,CHN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.711224169,6.714536959,8.19032302,15.18586451,20.61698881,13.6656964,6.506730635,1.616568742,-0.900251629,-1.263058939,2.062792614,2.047049457,0.602099078,2.603177719,6.951992681,3.903744269,3.926549397,7.749686493,7.795346037,-0.209533361,6.881380253,8.075684467,2.331217576,2.163370027,1.031063688,-0.002944094,1.407346027,4.232681975,3.499747636,1.286700408,0.491448371,4.371786898
Cote d'Ivoire,CIV,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.523273543,0.663489267,-0.023837137,6.154194292,46.38606943,11.04378986,4.983084576,3.921474199,5.387361396,-0.77591193,1.601017291,6.875968798,4.582137346,3.278120698,-2.503357525,1.301305273,1.359538255,3.088549449,5.372933484,1.207779297,1.516217924,5.709320499,-0.404098359,2.876730428,4.407332356,4.775682374,-2.090361448,-1.837601637,0.634843913,0.200492127,0.954258255,2.763518213
Cameroon,CMR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.643098431,3.56871353,-1.277671029,39.80023297,9.61873528,4.992791916,0.410559081,6.163811055,1.065869878,-1.119766442,1.531562958,2.469358915,2.774492854,1.952914447,0.139487831,1.357141959,2.299674979,0.49070804,4.940536806,3.603515189,0.688187081,2.589044241,1.942285369,3.053459169,2.014212634,0.309791672,0.661808978,1.025141161,1.896991621,1.169771822,0.705572038,3.356131743
"Congo, Dem. Rep.",COD,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9553071,2338.44967,3855.307641,1657.641589,26765.85825,466.4073586,638.1888243,192.6428345,26.93537636,441.9024919,2630.122674,73.05971136,31.71946123,13.41545352,6.365458263,29.86954662,13.32522538,20.27146498,20.46531662,32.65792915,20.78632515,13.79166011,5.939992212,2.771291418,0.993630667,-1.155878594,4.349228941,43.06865977,30.99861215,5.895405368,3.901549573,14.97543455
"Congo, Rep.",COG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.029068271,-1.480635695,-1.569268413,-1.130828611,36.75282565,3.39592951,17.99192403,4.964517682,-18.22208966,29.35534193,47.04008308,-13.92520817,-1.73892756,-4.25153692,16.80723831,21.3295,11.38030176,6.740117132,16.26920343,-21.16523311,29.4176838,10.95332551,11.36409024,-1.104562189,-6.559909847,-17.59471155,-3.437642921,11.25357757,23.81107853,-1.526592852,-13.85542425,25.60115057
Colombia,COL,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33610317,27.00577404,22.66438495,24.84157828,22.09637826,18.85095726,16.86837879,16.83985293,14.77304541,12.62294083,11.15327404,6.518448292,5.968190573,6.829014842,7.283033407,4.753196107,5.807660873,5.202033812,7.677382915,4.064225467,3.804860291,6.386803373,3.616655063,1.907676432,2.235632376,2.449328421,5.148334305,5.1337359,4.630579673,4.002620543,1.356488304,6.502214787
Comoros,COM,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1759123,8.118905144,-6.76452931,2.832823707,9.416919269,8.320974495,3.198700339,0.92436655,1.346654371,5.811360423,3.426445467,8.629983989,4.170655917,5.111829176,3.388361732,0.315881658,3.110763709,3.544922696,3.144289799,0.986041111,1.67515247,3.045688801,4.270482569,1.752157036,0.835044862,-0.522859923,1.714986808,0.402494135,1.83566794,4.209105968,0.669668394,0.059577397
Cabo Verde,CPV,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.345310322,4.792418971,-4.115844926,49.35408686,-29.17246227,-1.546899309,5.766898034,-0.835291428,-0.335990483,7.612078194,-1.200928291,5.15533505,-0.363208944,4.921099761,-6.332546974,-1.794883198,4.63977092,1.365374447,3.545932648,2.174621123,0.505086042,2.676410906,0.552996041,1.42841089,-0.146774194,1.736266164,-0.231686837,0.685148447,1.52382748,0.562980597,-0.862089799,2.330490817
